model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
ClassicalCNN,1,1042,0.6333333333333333,0.6335470085470085,0.6333333333333333,0.6331866079765239,1.981343
ClassicalCNN,2,1043,0.6433333333333333,0.6436461627544429,0.6433333333333333,0.6431390423675112,1.957807
ClassicalCNN,3,1044,0.6166666666666667,0.6528740317977986,0.6166666666666667,0.5925405392637384,1.94245
ClassicalCNN,4,1045,0.5866666666666667,0.6291048728813559,0.5866666666666667,0.5496586121737447,1.98185
ClassicalCNN,5,1046,0.5966666666666667,0.5967053488061892,0.5966666666666667,0.5966263292995967,2.056167
